context,answer,grounded,failure_type
Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,Quality education for ST learners in tribal areas; free residential schooling.,1,grounded_paraphrase
Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,grounded_paraphrase
PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,PM MUDRA Yojana is run by Ministry of Finance and is specifically designed for large industrial corporations. Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,0,hard_negative_wrong_target_paraphrase
Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,"You may qualify for monetary aid under Deen Dayal Disabled Rehabilitation Programme, run by Ministry of Social Justice & Empowerment: Funding to NGOs for rehabilitation of persons with disabilities.",1,grounded_paraphrase
"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.","PM-KISAN is run by Ministry of Agriculture & Farmers' Welfare and is specifically designed for salaried IT employees in metro cities. Financial assistance of ₹6,000/year in 3 installments to small & marginal cultivators.",0,hard_negative_wrong_target_paraphrase
PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,"PM-KISAN is run by Ministry of Agriculture & Farmers' Welfare. It provides: Financial assistance of ₹6,000/year in 3 installments to small & marginal cultivators.",0,topic_mismatch_paraphrase
"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.","You may qualify for monetary aid under PM-KISAN, run by Ministry of Agriculture & Farmers' Welfare: Financial assistance of ₹6,000/year in 3 installments to small & marginal cultivators.",1,grounded_paraphrase
Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,Post-Matric Scholarship for SC Students is run by Ministry of Social Justice & Empowerment. It provides: Financial assistance to SC students pursuing post-matriculation courses.,1,grounded
National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,National Scholarship Portal (NSP) Schemes is run by Ministry of Education. It provides: Pre & post matric scholarships for SC/ST/OBC/minority learners. Additional cash bonus of ₹25000 is also provided in the first year.,0,fabricated_number_paraphrase
Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,"You may qualify for monetary aid under Mahila Shakti Kendra Programme, run by Ministry of Female applicants & Child Development: Empowering village-area female applicants through community participation and convergence of schemes.",1,grounded_paraphrase
PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,Eklavya Model Residential Schools is run by Ministry of Tribal Affairs. It provides: Quality education for ST students in tribal areas; free residential schooling.,0,topic_mismatch
PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,PM MUDRA Yojana is run by Ministry of Finance and is specifically designed for foreign nationals visiting India. Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,0,hard_negative_wrong_target
Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,Indira Gandhi National Old Age Pension Programme is run by Ministry of Village-area Development. It provides: Monthly pension of ₹200–₹500 for BPL senior citizens aged 25000+.,0,fabricated_number_paraphrase
Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,Mahila Shakti Kendra Scheme is run by Ministry of Women & Child Development. It provides: Empowering rural women through community participation and convergence of schemes.,0,topic_mismatch
