query,passage,label,lang
What are the benefits of Startup India Seed Fund Scheme,Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,en
divyang ke liye Startup India Seed Fund Scheme kaise milega,Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,hi-mix
How do I apply for PM Scholarship Scheme (PMSS),Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,0,en
What documents do I need for Deen Dayal Disabled Rehabilitation Scheme,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,1,en
ujjwala yojana ke baare mein batao,Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,hi-mix
What is PM Awas Yojana – Gramin (PMAY-G)?,PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,1,en
mujhe PM Fasal Bima Yojana ke baare mein jaankari chahiye,PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,1,hi-mix
Tell me about Mahila Shakti Kendra Scheme,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,1,en
Who is eligible for PM Scholarship Scheme (PMSS),PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,en
Which ministry runs PM Suraksha Bima Yojana,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1,en
Who is eligible for PM Scholarship Scheme (PMSS),"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",0,en
What is PM MUDRA Yojana?,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,en
garib ke liye Ayushman Bharat – PM-JAY kaise milega,Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,hi-mix
Tell me about National Scholarship Portal (NSP) Schemes,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,1,en
What documents do I need for Indira Gandhi National Old Age Pension Scheme,Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,en
Which ministry runs Deen Dayal Disabled Rehabilitation Scheme,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,1,en
Tell me about Indira Gandhi National Old Age Pension Scheme,Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,en
What is Ayushman Bharat – PM-JAY?,Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,0,en
Who is eligible for Startup India Seed Fund Scheme,Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,en
mujhe Ayushman Bharat – PM-JAY ke baare mein jaankari chahiye,Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,hi-mix
How do I apply for National Scholarship Portal (NSP) Schemes,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,0,en
How do I apply for Post-Matric Scholarship for SC Students,Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,1,en
bima ke liye Deen Dayal Disabled Rehabilitation Scheme kaise milega,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,1,hi-mix
How do I apply for Eklavya Model Residential Schools,Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,1,en
Which ministry runs Ayushman Bharat – PM-JAY,Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,en
What documents do I need for Ayushman Bharat – PM-JAY,Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,en
fasal ke liye Post-Matric Scholarship for SC Students kaise milega,Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,1,hi-mix
How do I apply for Deen Dayal Disabled Rehabilitation Scheme,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,1,en
mujhe Eklavya Model Residential Schools ke baare mein jaankari chahiye,Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,1,hi-mix
How do I apply for PM Awas Yojana – Gramin (PMAY-G),National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,0,en
Which ministry runs Pradhan Mantri Matru Vandana Yojana,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1,en
swasthya ke liye Kisan Credit Card (KCC) kaise milega,Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1,hi-mix
Who is eligible for PM MUDRA Yojana,PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,0,en
Which ministry runs MGNREGS (Mahatma Gandhi NREGS),PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,0,en
Who is eligible for Startup India Seed Fund Scheme,Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,0,en
Which ministry runs PM MUDRA Yojana,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,en
sahayata ke liye Pradhan Mantri Matru Vandana Yojana kaise milega,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1,hi-mix
What is Kisan Credit Card (KCC)?,Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1,en
awas yojana ke baare mein batao,PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,hi-mix
mujhe Indira Gandhi National Old Age Pension Scheme ke baare mein jaankari chahiye,Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,hi-mix
