text,is_clean
How do I apply for PM Jeevan Jyoti Bima Yojana scheme,1
What is is is the annual income limit for this program,0
What is the annual income limit for this program,1
Am I eligible fir National Schoaarship Portal (NSP) Schemes,0
Am I eligible for Kisan dredit Card (KCC),0
Could you explain that again,0
I need help the eligibility criteria,0
Affordable credit for farmers farmers for agricultural needs up to ₹3 lakh at 4% interest.,0
How I Awas for do Yojana – apply (PMAY-G) PM Gramin scheme,0
How do I apply for Post-Matric,0
I want to check the status of my previous application,1
Am I eligible for Post-Matric,0
Can you please help me understand how tiis wobks,0
Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1
How do I apply for Indire Gandhb Naeional Old Age Pension Scheme scheme,0
Cae someone brom cour team call me back tomorrow,0
What is Eklavya Model Residential Schools,1
How do I apply,0
Am I eligible for PM Awas,0
How do I apply for PM Fasal Bima Yojana scheme,1
visited the office but they told me to come,0
"Income support of ₹6,000/year in um 3 installments to small & marginal farmers.",0
How do I apply for Deen Dayal Disabled Rehabilitation Scheme scheme,1
I filled out the form but I am not sure what happens next,1
₹5 lakh/year health err cover for secondary & tertiary hospitalisation for BPL families.,0
eligible for PM Fasal Bima Yojana,0
What um is PM hmm err Scholarship Scheme (PMSS),0
"I do not have internet access at home, can I apply offline",1
Grants err err to NGOs for rehabilitation xyz of persons with disabilities.,0
Am I for eligible Bima Suraksha PM Yojana,0
How long does it usually usually usually take to process an application,0
"I do not have internet access at home,",0
How do I apply for Post-Matric err Scholarship for SC err Students xyz scheme,0
How do I apply for PM MUDRA Yojana scheme,1
How do I apply for Startup India Seed Fund Scheme scheme,1
Am I eligible for Pradhan Mantri Matru Vandana Yojana,1
Am I eligible for PM,0
What is PM Jeevan Jyoti Yojana,0
Could you explain hmm that again in simpler terms,0
I filled out the form but I am am am not sure what happens next,0
What is PM-KISAN,1
How do I apply,0
What is Model Residential Schools,0
Am eligible for PM Jyoti Bima Yojana,0
What documents do I need to bring with me,1
Am I eligible for Scholarship (PMSS),0
How do I apply for MGNREGS (Mahatma Gandhi NREGS) scheme,1
What is PM Awas Yojana – Gramin (PMAY-G),1
How do I apply for PM MUDRA Yojana um scheme,0
Am I eligible for Startup India Seed Fund Scheme,1
I I want to know about government schemes for farmers,0
What is PM,0
What What is Startup India Seed Fund Scheme,0
Loans ₹50K–₹10 lakh for,0
Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1
What is Mahila Shakti Kendra Scheme,1
I would like to know if my family qualifies for any support,1
assistance to SC students pursuing courses.,0
How do I apply for National Scholarship Portal (NSP) Schemes scheme,1
What documents do I need,0
What is PM Jeevan Jyoti Bima Yojana,1
