age,annual_income,occupation,gender,category,education,land_owned_acres,is_bpl,is_disabled
41,131875,daily_wage,other,general,secondary,0,0,0
43,32110,student,other,st,postgraduate,1.1,1,0
41,820930,salaried,male,obc,postgraduate,0.2,0,0
16,29417,student,other,st,secondary,0,0,0
17,38768,student,male,st,secondary,0.4,1,0
35,105583,other,other,st,graduate,0,0,0
30,17992,unemployed,female,obc,secondary,0.3,0,0
38,31185,daily_wage,male,sc,postgraduate,0,1,1
69,0,daily_wage,male,general,none,0.4,1,0
24,76180,farmer,female,sc,none,0,0,0
37,569289,self_employed,other,general,none,0.5,0,0
40,80184,daily_wage,female,sc,secondary,1.1,1,0
50,427226,salaried,other,general,postgraduate,0,0,0
23,135116,self_employed,male,sc,postgraduate,0.6,0,0
35,117243,daily_wage,other,obc,graduate,0,1,0
54,344833,self_employed,other,sc,graduate,0,0,1
62,105915,daily_wage,other,sc,primary,0,1,0
30,97705,other,female,general,secondary,0,0,1
16,16410,student,female,obc,secondary,0,0,0
29,13186,farmer,other,obc,none,0,0,0
47,114703,daily_wage,male,general,primary,0,0,0
43,32468,student,other,general,postgraduate,0,0,0
49,831385,salaried,female,st,secondary,0,1,0
53,22860,farmer,other,st,primary,2.0,0,0
39,131180,other,female,sc,graduate,0.2,0,0
16,105472,daily_wage,male,obc,graduate,0.5,0,0
37,24054,student,male,st,none,0,1,0
39,802199,self_employed,other,st,none,1.3,0,1
41,31275,student,male,general,none,0.2,0,0
52,213079,farmer,other,st,graduate,0,0,0
53,31287,farmer,male,general,primary,2.0,0,0
44,602727,self_employed,female,sc,primary,0.5,0,0
36,255233,farmer,male,obc,postgraduate,1.1,1,0
24,591582,salaried,female,general,postgraduate,0.1,0,0
35,350248,salaried,female,general,graduate,0.6,0,0
41,299218,farmer,other,sc,primary,0.7,0,0
64,303824,self_employed,other,general,secondary,0,0,0
17,26091,student,other,general,secondary,0.8,0,0
18,41275,student,female,sc,secondary,0.5,0,0
41,65225,other,male,general,none,0,0,0
20,19805,student,male,obc,graduate,0.4,0,0
29,289720,self_employed,female,st,graduate,0.6,0,0
43,1337952,salaried,other,st,primary,0,0,0
16,42105,student,other,st,primary,0.8,0,0
57,132309,daily_wage,other,sc,primary,0,0,0
36,0,other,male,sc,postgraduate,0,1,0
32,30163,student,male,st,secondary,0,0,0
64,1057,unemployed,other,general,secondary,0.4,0,0
50,412237,salaried,other,general,none,1.3,0,0
22,26097,student,other,general,primary,0,0,0
49,144985,farmer,male,sc,graduate,1.4,0,0
33,255985,salaried,male,general,secondary,0,0,0
29,15455,unemployed,other,sc,postgraduate,0.8,1,0
35,96603,farmer,female,general,graduate,2.4,0,0
33,252323,self_employed,female,general,graduate,0,0,0
19,17566,student,male,sc,graduate,0,0,0
49,41386,student,female,general,primary,0,1,0
66,153213,self_employed,female,st,primary,0,0,0
63,557547,self_employed,female,general,secondary,0,0,1
49,431030,self_employed,female,sc,postgraduate,1.2,0,0
42,123530,other,other,general,graduate,0.5,0,0
39,19825,student,other,st,none,0,0,0
32,126954,other,other,obc,graduate,0.5,1,0
58,269447,farmer,female,st,secondary,0,0,0
33,23192,unemployed,other,st,postgraduate,0,1,0
16,27359,student,female,obc,none,0,0,0
46,236348,other,female,general,none,0,0,0
39,19725,student,male,general,primary,0.3,1,0
57,541910,self_employed,other,obc,secondary,0,0,0
52,36072,unemployed,male,general,none,1.1,0,0
40,63677,other,male,obc,none,0.4,1,0
41,100300,daily_wage,female,sc,none,0,1,0
33,109809,farmer,female,st,graduate,1.1,0,0
24,235839,farmer,female,obc,primary,0.0,0,0
41,703511,salaried,male,general,postgraduate,0,0,0
39,265287,farmer,female,st,primary,0,1,0
40,238192,farmer,male,general,graduate,5.0,0,0
22,146720,daily_wage,other,general,secondary,1.1,0,0
77,369017,self_employed,female,sc,primary,0.2,0,1
52,202839,farmer,male,general,graduate,1.4,1,0
29,439739,self_employed,female,sc,postgraduate,0.7,0,0
81,86694,farmer,other,st,secondary,3.7,1,0
44,70019,daily_wage,female,obc,graduate,0,0,0
60,116569,daily_wage,female,st,primary,0,1,0
27,88610,daily_wage,other,st,primary,0.0,0,1
18,27425,student,other,general,primary,0,1,0
41,125753,other,other,sc,postgraduate,0.8,0,1
45,803233,salaried,female,sc,primary,0,0,0
32,17525,student,male,general,none,0.5,1,0
36,77710,other,other,sc,primary,0,0,0
43,267874,farmer,male,general,none,1.9,0,0
33,140694,farmer,other,general,none,1.8,0,0
50,10011,unemployed,other,st,postgraduate,0,0,0
42,52702,farmer,male,sc,postgraduate,2.2,1,0
58,815325,salaried,other,obc,secondary,0.2,0,0
34,443702,self_employed,female,obc,none,0.8,0,0
43,853117,salaried,female,sc,postgraduate,0.9,0,0
31,1322722,salaried,female,general,graduate,0,0,0
42,507312,self_employed,female,general,primary,0,0,0
39,977765,salaried,male,sc,graduate,0.4,0,0
54,17634,student,female,st,primary,0,0,0
42,0,student,female,obc,secondary,0.8,1,0
36,231618,other,other,general,secondary,0.7,1,0
16,27027,student,male,st,primary,0.4,1,0
26,37035,student,female,general,graduate,0.2,0,0
52,403026,self_employed,female,st,graduate,1.1,0,0
44,153791,other,male,st,primary,0.4,0,0
28,23595,student,male,st,postgraduate,0.6,0,0
54,61591,daily_wage,male,sc,postgraduate,0,1,0
49,131949,farmer,female,sc,postgraduate,2.5,0,0
48,23161,student,male,st,secondary,0,0,0
37,199527,self_employed,female,obc,none,0,0,0
46,375975,self_employed,other,st,none,0.9,0,0
43,4540,unemployed,female,general,primary,1.0,1,0
53,73667,daily_wage,female,st,graduate,0.1,0,1
48,23478,student,male,general,primary,0,0,0
53,658234,salaried,female,sc,none,0.1,0,1
58,811514,salaried,other,obc,primary,0.1,0,0
38,217851,farmer,female,obc,graduate,2.7,0,0
60,153225,farmer,male,st,none,1.3,0,0
41,27624,student,female,sc,none,0.6,0,0
48,525467,farmer,female,obc,primary,0,0,0
45,563916,salaried,other,st,secondary,0.7,0,0
41,193775,self_employed,female,obc,postgraduate,0.5,0,0
39,25552,other,female,obc,secondary,0.4,1,0
31,508692,salaried,other,general,none,0,0,0
22,112748,daily_wage,female,st,secondary,0.0,1,0
27,177090,self_employed,other,sc,primary,0.4,0,0
43,30844,other,female,sc,secondary,0,1,0
26,27112,unemployed,male,sc,primary,0.2,0,0
49,109652,daily_wage,other,general,primary,0,1,0
36,135897,other,female,st,postgraduate,0.6,1,1
34,207035,farmer,other,sc,graduate,0,1,0
53,41991,salaried,other,general,secondary,0.7,0,0
42,304565,farmer,female,st,postgraduate,2.0,0,1
45,23162,unemployed,other,sc,postgraduate,0,0,0
54,153929,farmer,male,st,postgraduate,0,0,0
37,30716,student,male,st,postgraduate,0.4,1,0
70,442770,self_employed,other,st,none,0.1,0,0
55,551328,salaried,other,general,secondary,1.0,0,0
39,249028,self_employed,male,sc,none,0,0,0
42,484330,self_employed,male,general,primary,0.8,0,1
57,113744,other,female,st,postgraduate,0.6,1,0
45,28103,student,other,obc,postgraduate,0.7,0,0
26,142612,other,female,general,postgraduate,0.1,0,0
20,18615,unemployed,male,st,primary,0,1,0
31,181172,other,female,general,primary,0.9,0,0
44,22491,student,male,sc,primary,0.7,0,0
36,32266,student,other,sc,primary,0,0,0
41,393055,salaried,male,sc,postgraduate,0,0,1
47,17078,farmer,female,st,graduate,0.1,1,0
33,194043,self_employed,male,general,graduate,0.7,0,0
37,161942,self_employed,female,obc,none,0,0,0
34,48303,farmer,male,general,graduate,0,0,0
22,57626,daily_wage,other,sc,secondary,0,0,0
54,15689,unemployed,female,obc,postgraduate,0,1,0
25,349454,self_employed,other,st,none,0,0,0
35,379354,salaried,other,general,primary,0.0,0,0
51,337772,farmer,female,sc,none,0.6,0,1
37,7979,unemployed,male,obc,secondary,1.5,0,0
28,487809,self_employed,male,obc,primary,0,0,0
31,13027,unemployed,other,obc,secondary,0.4,0,0
