text,label
Am I eligible for PM MUDRA Yojana?,eligibility_check
Check my eligibility for Kisan Credit Card (KCC),eligibility_check
avedan kaise karen PM-KISAN ke liye,application_process
Which schemes can I apply for as a farmer?,scheme_recommendation
Am I eligible for Mahila Shakti Kendra Scheme?,eligibility_check
hi there,greeting_identity
will it rain today,general_query
Tell me about National Scholarship Portal (NSP) Schemes,scheme_information
What documents are needed for PM Fasal Bima Yojana,application_process
Am I eligible for Ayushman Bharat – PM-JAY if my income is 3 lakh,eligibility_check
Steps to apply for Kisan Credit Card (KCC),application_process
Yo,greeting_identity
Explain the benefits of Startup India Seed Fund Scheme,scheme_information
Does SC qualify for PM Jeevan Jyoti Bima Yojana,eligibility_check
mujhe National Scholarship Portal (NSP) Schemes milega kya,eligibility_check
How do I apply for Indira Gandhi National Old Age Pension Scheme?,application_process
what is quantum physics,general_query
Post-Matric Scholarship for SC Students ke liye kaise apply karen,application_process
suggest a good book to read,general_query
Tell me about Indira Gandhi National Old Age Pension Scheme,scheme_information
Give me information on Mahila Shakti Kendra Scheme,scheme_information
Can a 19 year old apply for Indira Gandhi National Old Age Pension Scheme,eligibility_check
translate hello to french,general_query
Will I be entitled to MGNREGS (Mahatma Gandhi NREGS),eligibility_check
Will I be entitled to PM-KISAN,eligibility_check
play a song,general_query
Can I get National Scholarship Portal (NSP) Schemes benefits,eligibility_check
What government schemes suit a 28 year old student,scheme_recommendation
What is PM Jeevan Jyoti Bima Yojana?,scheme_information
What is Startup India Seed Fund Scheme?,scheme_information
Suggest a scheme for a student earning 3 lakh,scheme_recommendation
Am I eligible for National Scholarship Portal (NSP) Schemes?,eligibility_check
Does SC qualify for Deen Dayal Disabled Rehabilitation Scheme,eligibility_check
avedan kaise karen Pradhan Mantri Matru Vandana Yojana ke liye,application_process
Best scheme for OBC farmers,scheme_recommendation
Good morning!,greeting_identity
kya main Startup India Seed Fund Scheme ke liye patra hoon,eligibility_check
Play some music,general_query
National Scholarship Portal (NSP) Schemes kya hai,scheme_information
"Suggest a scheme for a salaried employee earning 50,000",scheme_recommendation
Check my eligibility for MGNREGS (Mahatma Gandhi NREGS),eligibility_check
Documents required for PM MUDRA Yojana,application_process
Suggest a scheme for a student earning 2.5 lakh,scheme_recommendation
Do I qualify for PM Scholarship Scheme (PMSS),eligibility_check
Check my eligibility for PM Fasal Bima Yojana,eligibility_check
Best scheme for general category farmers,scheme_recommendation
Am I eligible for Pradhan Mantri Matru Vandana Yojana?,eligibility_check
how big is the sun,general_query
How far is the moon,general_query
mere liye kaunsi sarkari yojana theek hai,scheme_recommendation
What's the weather today?,general_query
Hiya,greeting_identity
Steps to apply for Startup India Seed Fund Scheme,application_process
Suggest schemes for someone earning 6 lakh a year,scheme_recommendation
Best scheme for ST farmers,scheme_recommendation
What documents are needed for PM Awas Yojana – Gramin (PMAY-G),application_process
Am I eligible for Ayushman Bharat – PM-JAY?,eligibility_check
Give me information on PM Jeevan Jyoti Bima Yojana,scheme_information
Hi!,greeting_identity
Suggest a scheme for a unemployed person earning 1.2 lakh,scheme_recommendation
Which yojana is suitable for a daily wage worker,scheme_recommendation
Check my eligibility for PM Scholarship Scheme (PMSS),eligibility_check
Indira Gandhi National Old Age Pension Scheme ke liye kaise apply karen,application_process
PM Awas Yojana – Gramin (PMAY-G) ke liye kaise apply karen,application_process
What is the application process for Deen Dayal Disabled Rehabilitation Scheme,application_process
Am I eligible for Startup India Seed Fund Scheme?,eligibility_check
Which schemes can I apply for as a self-employed person?,scheme_recommendation
Documents required for Indira Gandhi National Old Age Pension Scheme,application_process
Deen Dayal Disabled Rehabilitation Scheme kya hai,scheme_information
Which yojana is suitable for a self-employed person,scheme_recommendation
Suggest a scheme for a unemployed person earning 3 lakh,scheme_recommendation
mujhe Pradhan Mantri Matru Vandana Yojana milega kya,eligibility_check
Vanakkam,greeting_identity
Check my eligibility for Indira Gandhi National Old Age Pension Scheme,eligibility_check
What's the score of yesterday's match,general_query
What's 2 plus 2,general_query
Give me information on Kisan Credit Card (KCC),scheme_information
What documents are needed for Deen Dayal Disabled Rehabilitation Scheme,application_process
What is the application process for Startup India Seed Fund Scheme,application_process
Details about PM Jeevan Jyoti Bima Yojana,scheme_information
"Suggest schemes for someone earning 50,000 a year",scheme_recommendation
Does ST qualify for Pradhan Mantri Matru Vandana Yojana,eligibility_check
Can a 68 year old apply for Ayushman Bharat – PM-JAY,eligibility_check
Hi,greeting_identity
Can I get PM MUDRA Yojana benefits,eligibility_check
Namaste!,greeting_identity
what's today's date,general_query
avedan kaise karen PM Suraksha Bima Yojana ke liye,application_process
how do I make tea,general_query
Can I get Mahila Shakti Kendra Scheme benefits,eligibility_check
How do I apply for Ayushman Bharat – PM-JAY?,application_process
tell me about black holes,general_query
Give me information on MGNREGS (Mahatma Gandhi NREGS),scheme_information
Can I get Ayushman Bharat – PM-JAY benefits,eligibility_check
Which schemes can I apply for as a daily wage worker?,scheme_recommendation
mujhe PM Suraksha Bima Yojana milega kya,eligibility_check
Am I eligible for Ayushman Bharat – PM-JAY if my income is 2.5 lakh,eligibility_check
Give me information on Deen Dayal Disabled Rehabilitation Scheme,scheme_information
Steps to apply for PM Jeevan Jyoti Bima Yojana,application_process
Good afternoon,greeting_identity
Which yojana is suitable for a salaried employee,scheme_recommendation
Steps to apply for National Scholarship Portal (NSP) Schemes,application_process
Which yojana is suitable for a student,scheme_recommendation
Who are you?,greeting_identity
Details about Ayushman Bharat – PM-JAY,scheme_information
Documents required for PM Awas Yojana – Gramin (PMAY-G),application_process
How do I cook rice,general_query
Check my eligibility for Ayushman Bharat – PM-JAY,eligibility_check
kya main PM Jeevan Jyoti Bima Yojana ke liye patra hoon,eligibility_check
Where can I submit the application for Indira Gandhi National Old Age Pension Scheme,application_process
How can I register for Mahila Shakti Kendra Scheme,application_process
kya main Mahila Shakti Kendra Scheme ke liye patra hoon,eligibility_check
What does Eklavya Model Residential Schools provide,scheme_information
How can I register for Pradhan Mantri Matru Vandana Yojana,application_process
avedan kaise karen PM Awas Yojana – Gramin (PMAY-G) ke liye,application_process
Do I qualify for PM Jeevan Jyoti Bima Yojana,eligibility_check
kya main Kisan Credit Card (KCC) ke liye patra hoon,eligibility_check
Where can I submit the application for PM Jeevan Jyoti Bima Yojana,application_process
Hello there,greeting_identity
Recommend schemes for me,scheme_recommendation
Where can I submit the application for Mahila Shakti Kendra Scheme,application_process
How do I apply for Post-Matric Scholarship for SC Students?,application_process
What is MGNREGS (Mahatma Gandhi NREGS)?,scheme_information
mujhe Startup India Seed Fund Scheme milega kya,eligibility_check
Can a 28 year old apply for PM Scholarship Scheme (PMSS),eligibility_check
